,time,Cp,Lambda_i,Lambda,Tem,Tm,Ia,Ea,w,pitch,dpitch,pitch_ref,power
0,0.0,1.0,73.52461790270527,94.3517314315131,780.4292506425145,1424935.5486600453,49.26952339914864,448.35942776255024,28.30551942945393,0.0,0.0,0.0,11824.685615795674
1,0.01,1.0,95.3803697069183,133.6323580242032,1163.1944354696886,1006082.1958259388,73.43399213823793,635.0209653310136,40.08970740726096,0.0,0.0,0.0,17624.1581131771
2,0.02,1.0,109.78923114726398,163.7300242168765,1447.3152661295771,821139.1700296983,91.37091326575613,778.045075078597,49.11900726506295,0.0,0.0,0.0,21929.01918378147
3,0.03,1.0,111.10222186665243,166.66666666666666,1515.7187547692192,806670.8171663302,95.6893153263396,792.0,50.0,0.0,0.0,0.0,22965.435678321504
4,0.04,1.0,111.10222186665243,166.66666666666666,1515.8032692244751,806670.8171663302,95.69465083487847,792.0,50.0,0.0,0.0,0.0,22966.716200370833
5,0.05,1.0,111.10222186665243,166.66666666666666,1515.7505691752544,806670.8171663302,95.69132381156909,792.0,50.0,0.0,0.0,0.0,22965.91771477658
6,0.060000000000000005,1.0,111.10222186665243,166.66666666666666,1515.7903667599237,806670.8171663302,95.69383628534872,792.0,50.0,0.0,0.0,0.0,22966.520708483695
7,0.07,1.0,111.10222186665243,166.66666666666666,1515.7630668156328,806670.8171663302,95.69211280401723,792.0,50.0,0.0,0.0,0.0,22966.107072964136
8,0.08,1.0,111.10222186665243,166.66666666666666,1515.7833500344707,806670.8171663302,95.693393310257,792.0,50.0,0.0,0.0,0.0,22966.414394461677
9,0.09,1.0,111.10222186665243,166.66666666666666,1515.7690148647887,806670.8171663302,95.69248831217101,792.0,50.0,0.0,0.0,0.0,22966.197194921042
10,0.09999999999999999,1.0,111.10222186665243,166.66666666666666,1515.7795507182304,806670.8171663302,95.69315345443374,792.0,50.0,0.0,0.0,0.0,22966.356829064098
11,0.10999999999999999,1.0,111.10222186665243,166.66666666666666,1515.7720095121983,806670.8171663302,95.69267736819434,792.0,50.0,0.0,0.0,0.0,22966.24256836664
