,time,Pitch_increment,Cp,Lambda_i,Lambda,Tem,Tm,Ia,Ea,w,pitch,dpitch,pitch_ref
0,0.10999999999999999,0.00034906585039886593,0.38477680129626257,8.470263117429338,8.711111111111112,228.78484633565935,847.9199099615632,37.177574707119355,307.692,50.0,1.5552239343780275e-07,2.801975499408373e-06,0.00034919459398606204
1,0.20000000000000004,0.00034906585039886593,0.38477678436513557,8.470263117429338,8.711111111111112,228.77903342505874,847.9198726509986,37.176630108202154,307.692,50.0,5.065613752957852e-07,4.982520221893571e-06,0.0003495237728613203
2,0.3000000000000001,0.00034906585039886593,0.3847767547155327,8.470263117429338,8.711111111111112,228.77935247723426,847.9198073131497,37.17668195423252,307.692,50.0,1.1212969727568872e-06,7.292917219303148e-06,0.0003501153465744457
3,0.4000000000000002,0.00034906585039886593,0.38477671419673964,8.470263117429338,8.711111111111112,228.77936508341125,847.9197180232255,37.176684002738334,307.692,50.0,1.96138729659671e-06,9.490552275024773e-06,0.00035093340545995266
4,0.5000000000000002,0.00034906585039886593,0.38477666333924093,8.470263117429338,8.711111111111112,228.77936558393566,847.9196059502377,37.17668408407363,307.692,50.0,3.0158336151931503e-06,1.1580928882833531e-05,0.00035196689561332623
5,0.6000000000000003,0.00034906585039886593,0.38477660264763125,8.470263117429338,8.711111111111112,228.77936560248966,847.919472206145,37.17668408708866,307.692,50.0,4.274174004379794e-06,1.3569281931306004e-05,0.000353205302630292
6,0.7000000000000004,0.00034906585039886593,0.38477653260187655,8.470263117429338,8.711111111111112,228.7793656021741,847.9193178486322,37.17668408703738,307.692,50.0,5.726457147857238e-06,1.5460590813447625e-05,0.0003546386252758029
7,0.8000000000000005,0.00034906585039886593,0.3847764536585185,8.470263117429338,8.711111111111112,228.77936560134737,847.9191438837652,37.17668408690304,307.692,50.0,7.363217416309545e-06,1.7259591896487584e-05,0.00035625735043814493
8,0.9000000000000006,0.00034906585039886593,0.38477636625181594,8.470263117429338,8.711111111111112,228.77936560067332,847.9189512685059,37.1766840867935,307.692,50.0,9.175451162816939e-06,1.8970790383069116e-05,0.0003580524293054406
9,1.0000000000000007,0.00034906585039886593,0.384776270794833,8.470263117429338,8.711111111111112,228.77936560013225,847.9187409131101,37.17668408670558,307.692,50.0,1.1154594175201857e-05,2.05984715935389e-05,0.0003600152547048895
10,1.1000000000000008,0.00034906585039886593,0.3847761676804744,8.470263117429338,8.711111111111112,228.7793655996927,847.9185136834087,37.176684086634154,307.692,50.0,1.3292500228842653e-05,2.214671169758958e-05,0.0003621376395479963
11,1.2000000000000008,0.00034906585039886593,0.3847760572824687,8.470263117429338,8.711111111111112,228.77936559933053,847.9182704029752,37.1766840865753,307.692,50.0,1.5581420686245268e-05,2.361938792213052e-05,0.000364411796327808
12,1.300000000000001,0.00034906585039886593,0.3847759399563027,8.470263117429338,8.711111111111112,228.77936559902798,847.9180118551837,37.17668408652614,307.692,50.0,1.8013985092284405e-05,2.5020188260950046e-05,0.000366830317616815
13,1.400000000000001,0.00034906585039886593,0.38477581604011485,8.47026311742934,8.711111111111112,228.77936559877347,847.9177387851794,37.17668408648478,307.692,50.0,2.0583182716519306e-05,2.635262071048494e-05,0.00036938615751667795
14,1.500000000000001,0.00034906585039886593,0.3847756858555396,8.47026311742934,8.711111111111112,228.77936559855698,847.917451901737,37.1766840864496,307.692,50.0,2.3282344996360888e-05,2.7620022054826207e-05,0.00037207261401332406
15,1.6000000000000012,0.00034906585039886593,0.38477554970851346,8.470263117429342,8.711111111111112,228.7793655983714,847.9171518790386,37.17668408641944,307.692,50.0,2.610512883712308e-05,2.88255662219611e-05,0.00037488331219322706
16,1.7000000000000013,0.00034906585039886593,0.38477540789004144,8.470263117429344,8.711111111111112,228.77936559821103,847.9168393583626,37.17668408639338,307.692,50.0,2.9045500727136872e-05,2.9972272232177878e-05,0.00037781218827883777
17,1.8000000000000014,0.00034906585039886593,0.384775260676926,8.470263117429345,8.711111111111112,228.7793655980716,847.9165149496896,37.17668408637072,307.692,50.0,3.2097721628147044e-05,3.10630117585383e-05,0.0003808534744431865
18,1.9000000000000015,0.00034906585039886593,0.38477510833245926,8.470263117429347,8.711111111111112,228.77936559794924,847.9161792332271,37.17668408635084,307.692,50.0,3.525633260315272e-05,3.210051631835137e-05,0.00038400168436562886
19,2.0000000000000013,0.00034906585039886593,0.38477495110708376,8.47026311742935,8.711111111111112,228.77936559784177,847.9158327608676,37.176684086333374,307.692,50.0,3.851614114570003e-05,3.308738411365781e-05,0.00038725159949256184
20,2.109999999999999,0.00034906585039886593,0.3847747728056849,8.470263117429354,8.711111111111112,228.77936559773795,847.9154398439724,37.176684086316506,307.692,50.0,4.221292619851071e-05,3.411739920240735e-05,0.00039093805857525724
21,2.209999999999997,0.00034906585039886593,0.38477460609194364,8.47026311742936,8.711111111111112,228.77936559765456,847.9150724624151,37.176684086302956,307.692,50.0,4.566946027826386e-05,3.500583039551151e-05,0.000394385686072913
22,2.3099999999999947,0.00034906585039886593,0.38477443519860444,8.470263117429363,8.711111111111112,228.7793655975796,847.9146958704162,37.17668408629078,307.692,50.0,4.921265139949206e-05,3.585090054438695e-05,0.0003979204053094107
23,2.4099999999999926,0.00034906585039886593,0.3847742603296573,8.47026311742937,8.711111111111112,228.7793655975125,847.9143105175015,37.17668408627987,307.692,50.0,5.2838270152155107e-05,3.665472594140521e-05,0.0004015379656587376
