,time,Pitch_increment,Cp,Lambda_i,Lambda,Tem,Tm,Ia,Ea,w,pitch,dpitch,pitch_ref
0,0.10999999999999999,0.04,0.0009053731424953129,1.6667676785194763,0.6210242144622562,16.296319249647404,27.985854980888334,2.6481545262222292,21.935684226618427,3.564552251377746,0.27139895617229276,5.107150803064868e-06,0.2720970392959332
1,0.20000000000000004,0.04,0.0006895676460452133,1.6220870072161697,0.6376096047681432,16.740931070758325,20.76067798969724,2.720404019402247,22.52150982899076,3.6597490069600056,0.2713996145300433,9.490116763387877e-06,0.272097653714157
2,0.3000000000000001,0.04,0.0006191034497724136,1.605096281542982,0.6441593046317161,16.915838144867777,18.449705827712318,2.748826447367461,22.75285692406477,3.697342947503473,0.2714007976774696,1.4134090028443068e-05,0.2720987903054409
3,0.4000000000000002,0.04,0.0005942824623811951,1.5987455535710637,0.6466432340050704,16.9820884613399,17.64199451342368,2.759592134559868,22.84059374511981,3.7116001951821644,0.2714024337952407,1.8551408115577932e-05,0.2721003821393029
4,0.5000000000000002,0.04,0.0005847018293558754,1.5962378448397552,0.6476295148017354,17.008382335775657,17.331147803827623,2.7638648934284378,22.875430944073724,3.717261245673226,0.27140450077554756,2.2753133226649714e-05,0.27210240699703464
5,0.6000000000000003,0.04,0.0005808749130058467,1.5952270319711432,0.6480279451503792,17.01900248117862,17.207128114934235,2.7655906687821945,22.889504215470588,3.7195481545621254,0.2714069775895815,2.6749787658312472e-05,0.2721048437443408
6,0.7000000000000004,0.04,0.0005793254439628389,1.5948162637162062,0.6481900010812881,17.02332177304878,17.156938008391524,2.7662925544129817,22.895228320335885,3.720478322532904,0.2714098442348725,3.055138015279498e-05,0.2721076722784129
7,0.8000000000000005,0.04,0.0005786946489216251,1.5946487905249531,0.648256095939724,17.025083355826542,17.136509397743144,2.766578811900625,22.89756290876237,3.720857693531579,0.2714130816851972,3.416743096259525e-05,0.2721108734775865
8,0.9000000000000006,0.04,0.0005784372773921887,1.5945804203846639,0.6482830822814187,17.025802597208827,17.128174990388697,2.7666956887421232,22.898516114540925,3.72101258962549,0.2714166718429316,3.760699569185937e-05,0.27211442915345463
9,1.0000000000000007,0.04,0.0005783321696224802,1.594552494500411,0.6482941049405314,17.026096372854177,17.12477146182689,2.7667434273322313,22.898905454544106,3.7210758574392746,0.2714205974937306,4.087868797415084e-05,0.27211832200531977
10,1.1000000000000008,0.04,0.0005782892265452702,1.5945410867736813,0.6482986071447749,17.02621636585342,17.12338097423975,2.7667629262141067,22.899064480437637,3.721101699172815,0.2714248422634168,4.3990701043402193e-05,0.2721225355768669
11,1.2000000000000008,0.04,0.0005782716765624651,1.5945364275568472,0.6483004452742974,17.026265356376594,17.122812763522067,2.766770887182084,22.899129406454744,3.7211122496611457,0.2714293905769764,4.6950828252067445e-05,0.2721270542149534
12,1.300000000000001,0.04,0.0005782645013128973,1.5945345258881451,0.648301194763714,17.026285332714075,17.12258050691245,2.7667741333401707,22.89915587975931,3.7211165515774396,0.2714342276195544,4.9766482587859964e-05,0.2721318630304084
13,1.400000000000001,0.04,0.000578261565122657,1.5945337511374802,0.6483014993201714,17.026293450841287,17.122485521727427,2.7667754525371615,22.899166637237236,3.721118299669351,0.2714393392993541,5.2444715237949916e-05,0.2721369478607468
14,1.500000000000001,0.04,0.0005782603609904798,1.594533437007872,0.648301621974978,17.02629672101845,17.122446627573726,2.7667759839414825,22.899170969624034,3.7211190036829094,0.27144471221234745,5.4992233247112425e-05,0.2721422952347019
15,1.6000000000000012,0.04,0.000578259864521725,1.594533311229622,0.648301670213103,17.026298007912153,17.122430652971534,2.766776193061918,22.89917267348075,3.7211192805599023,0.2714503336087073,5.7415416314046284e-05,0.27214789233848946
16,1.7000000000000013,0.04,0.0005782596571291156,1.5945332625398934,0.6483016879600061,17.026298482212717,17.12242404330342,2.766776270135837,22.899173300333057,3.7211193824235043,0.27145619136087845,5.972033276792655e-05,0.27215372698371915
17,1.8000000000000014,0.04,0.0005782595677710754,1.5945332454675514,0.6483016931688996,17.026298622403132,17.122421259814708,2.766776292916802,22.899173484320475,3.7211194123214897,0.27146227393320727,6.191275476520067e-05,0.27215978757687087
18,1.9000000000000015,0.04,0.0005782595265595059,1.5945332414260662,0.6483016931798115,17.026298624105998,17.12242003924086,2.766776293193518,22.899173484705905,3.721119412384122,0.2714685703530521,6.399817274468513e-05,0.27216606309026103
19,2.0000000000000013,0.04,0.0005782595049402646,1.5945332428150107,0.6483016909957291,17.026298567353976,17.122419456773535,2.7667762839713053,22.899173407560212,3.7211193998479346,0.27147507018330597,6.598180917716214e-05,0.27217254303442706
20,2.109999999999999,0.04,0.0005782594901005492,1.594533246964163,0.6483016875022041,17.026298475898844,17.12241910963372,2.7667762691098314,22.89917328416267,3.721119379795814,0.27148244310147124,6.805217307571269e-05,0.2721798951970559
21,2.209999999999997,0.04,0.0005782594797576094,1.5945332517841202,0.648301683864001,17.026298380480736,17.122418899465764,2.766776253604373,22.899173155654843,3.721119358913271,0.2714893383564665,6.983794872952578e-05,0.27218677254953083
22,2.3099999999999947,0.04,0.0005782594705232458,1.5945332570899091,0.6483016799900834,17.02629827881958,17.122418728348542,2.766776237084419,22.899173018821156,3.7211193366777744,0.2714964077949396,7.153656727121972e-05,0.2721938249592395
23,2.4099999999999926,0.04,0.0005782594616752603,1.5945332626802564,0.6483016759620398,17.02629817308787,17.12241857274273,2.766776219902999,22.899172876543464,3.7211193135576264,0.27150364291563833,7.315228251743522e-05,0.2722010438822849
